Resource Relationships,,,Arcrole,Resource,ResourceRole,Language,Name,Namespace,LocalName,References
http://www.xbrl.org/2003/role/link,,
,esrs:PoliciesAreAlignedWithRelevantInternationallyRecognisedInstruments,,,esrs:PoliciesAreAlignedWithRelevantInternationallyRecognisedInstruments,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,PoliciesAreAlignedWithRelevantInternationallyRecognisedInstruments," ESRS S1 21 S1-1 AR 12 Main Mandatory subject to MA S1-1_07,  ESRS S4 17 S4-1 AR 11 Main Mandatory subject to MA S4-1_06,  ESRS S2 19 S2-1 AR 14 Main Mandatory subject to MA S2-1_08,  ESRS S3 17 S3-1 AR 10 Main Mandatory subject to MA S3-1_06,  Commission Delegated Regulation (EU) 2020/1816 Annex 2 Section 1 and Section 2 Exposure of the benchmark portfolio to companies without due diligence policies on issues addressed by the fundamental International Labour Organisation Conventions 1 to 8 Related,  ESRS S2 AR 14 S2-1 Main Mandatory subject to MA,  ESRS S1 AR 12 S1-1 Main Mandatory subject to MA,  ESRS S3 AR 10 S3-1 Main Mandatory subject to MA,  ESRS S4 AR 11 S4-1 Main Mandatory subject to MA"
,,ESRS S1 21 S1-1 AR 12 Main Mandatory subject to MA S1-1_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 17 S4-1 AR 11 Main Mandatory subject to MA S4-1_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 19 S2-1 AR 14 Main Mandatory subject to MA S2-1_08,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 17 S3-1 AR 10 Main Mandatory subject to MA S3-1_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,Commission Delegated Regulation (EU) 2020/1816 Annex 2 Section 1 and Section 2 Exposure of the benchmark portfolio to companies without due diligence policies on issues addressed by the fundamental International Labour Organisation Conventions 1 to 8 Related,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 AR 14 S2-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S1 AR 12 S1-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 AR 10 S3-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 AR 11 S4-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfHowPoliciesAreAlignedWithRelevantInternationallyRecognisedInstrumentsExplanatory,,,esrs:DescriptionOfHowPoliciesAreAlignedWithRelevantInternationallyRecognisedInstrumentsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfHowPoliciesAreAlignedWithRelevantInternationallyRecognisedInstrumentsExplanatory," ESRS S1 21 S1-1 AR 12 Main Mandatory subject to MA S1-1_07,  ESRS S4 17 S4-1 AR 11 Main Mandatory subject to MA S4-1_06,  ESRS S2 19 S2-1 AR 14 Main Mandatory subject to MA S2-1_08,  ESRS S3 17 S3-1 AR 10 Main Mandatory subject to MA S3-1_06,  Commission Delegated Regulation (EU) 2020/1816 Annex 2 Section 1 and Section 2 Exposure of the benchmark portfolio to companies without due diligence policies on issues addressed by the fundamental International Labour Organisation Conventions 1 to 8 Related"
,,ESRS S1 21 S1-1 AR 12 Main Mandatory subject to MA S1-1_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 17 S4-1 AR 11 Main Mandatory subject to MA S4-1_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 19 S2-1 AR 14 Main Mandatory subject to MA S2-1_08,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 17 S3-1 AR 10 Main Mandatory subject to MA S3-1_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,Commission Delegated Regulation (EU) 2020/1816 Annex 2 Section 1 and Section 2 Exposure of the benchmark portfolio to companies without due diligence policies on issues addressed by the fundamental International Labour Organisation Conventions 1 to 8 Related,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfAnyConflictingInterestsThatHaveArisenAmongOwnWorkforceAndHowTheseConflictingInterestsHaveBeenResolvedExplanatory,,,esrs:DisclosureOfAnyConflictingInterestsThatHaveArisenAmongOwnWorkforceAndHowTheseConflictingInterestsHaveBeenResolvedExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfAnyConflictingInterestsThatHaveArisenAmongOwnWorkforceAndHowTheseConflictingInterestsHaveBeenResolvedExplanatory, ESRS S1 AR 25 d S1-2 Main Voluntary S1-2_13
,,ESRS S1 AR 25 d S1-2 Main Voluntary S1-2_13,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory,,,esrs:DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory, ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA GOV-3_03
,,ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA GOV-3_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies,,,esrs:PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies, ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA
