Label,Name,ID,Namespace,Abs­tract,Substi­tu­tion Group,Type,Per­iod Type,Bal­ance,Nillable,Typed Domain Ref,Facets,Doc­u­men­ta­tion
country:AD,AD,country_AD,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AE,AE,country_AE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AF,AF,country_AF,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AG,AG,country_AG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AI,AI,country_AI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AL,AL,country_AL,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AM,AM,country_AM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AN,AN,country_AN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AO,AO,country_AO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AQ,AQ,country_AQ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AR,AR,country_AR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AS,AS,country_AS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AT,AT,country_AT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AU,AU,country_AU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AW,AW,country_AW,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AX,AX,country_AX,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:AZ,AZ,country_AZ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BA,BA,country_BA,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BB,BB,country_BB,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BD,BD,country_BD,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BE,BE,country_BE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BF,BF,country_BF,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BG,BG,country_BG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BH,BH,country_BH,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BI,BI,country_BI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BJ,BJ,country_BJ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BL,BL,country_BL,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BM,BM,country_BM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BN,BN,country_BN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BO,BO,country_BO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BQ,BQ,country_BQ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BR,BR,country_BR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BS,BS,country_BS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BT,BT,country_BT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BU,BU,country_BU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BV,BV,country_BV,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BW,BW,country_BW,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BY,BY,country_BY,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:BZ,BZ,country_BZ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CA,CA,country_CA,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CC,CC,country_CC,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CD,CD,country_CD,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CF,CF,country_CF,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CG,CG,country_CG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CH,CH,country_CH,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CI,CI,country_CI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CK,CK,country_CK,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CL,CL,country_CL,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CM,CM,country_CM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CN,CN,country_CN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CO,CO,country_CO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CR,CR,country_CR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CS,CS,country_CS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CU,CU,country_CU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CV,CV,country_CV,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CW,CW,country_CW,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CX,CX,country_CX,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CY,CY,country_CY,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CZ,CZ,country_CZ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:CountryDomain,CountryDomain,country_CountryDomain,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DE,DE,country_DE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DJ,DJ,country_DJ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DK,DK,country_DK,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DM,DM,country_DM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DO,DO,country_DO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:DZ,DZ,country_DZ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:EC,EC,country_EC,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:EE,EE,country_EE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:EG,EG,country_EG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:EH,EH,country_EH,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:ER,ER,country_ER,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:ES,ES,country_ES,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:ET,ET,country_ET,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FI,FI,country_FI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FJ,FJ,country_FJ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FK,FK,country_FK,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FM,FM,country_FM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FO,FO,country_FO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:FR,FR,country_FR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GA,GA,country_GA,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GB,GB,country_GB,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GD,GD,country_GD,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GE,GE,country_GE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GF,GF,country_GF,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GG,GG,country_GG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GH,GH,country_GH,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GI,GI,country_GI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GL,GL,country_GL,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GM,GM,country_GM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GN,GN,country_GN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GP,GP,country_GP,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GQ,GQ,country_GQ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GR,GR,country_GR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GS,GS,country_GS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GT,GT,country_GT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GU,GU,country_GU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GW,GW,country_GW,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:GY,GY,country_GY,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HK,HK,country_HK,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HM,HM,country_HM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HN,HN,country_HN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HR,HR,country_HR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HT,HT,country_HT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:HU,HU,country_HU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:ID,ID,country_ID,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IE,IE,country_IE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IL,IL,country_IL,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IM,IM,country_IM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IN,IN,country_IN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IO,IO,country_IO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IQ,IQ,country_IQ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IR,IR,country_IR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IS,IS,country_IS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:IT,IT,country_IT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:JE,JE,country_JE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:JM,JM,country_JM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:JO,JO,country_JO,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:JP,JP,country_JP,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KE,KE,country_KE,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KG,KG,country_KG,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KH,KH,country_KH,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KI,KI,country_KI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KM,KM,country_KM,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KN,KN,country_KN,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KP,KP,country_KP,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KR,KR,country_KR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KW,KW,country_KW,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KY,KY,country_KY,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:KZ,KZ,country_KZ,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LA,LA,country_LA,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LB,LB,country_LB,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LC,LC,country_LC,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LI,LI,country_LI,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LK,LK,country_LK,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LR,LR,country_LR,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LS,LS,country_LS,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LT,LT,country_LT,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LU,LU,country_LU,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
country:LV,LV,country_LV,https://xbrl.org/2024/iso3166,true,xbrli:item,dtr:domainItemType,duration,,true,,length=0,
